Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign up,TestCloud - macOS - Safari 17,,,27-07-2024 10:18:32,27-07-2024 10:26:05,7m - 32.713s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Sign up/TC18_Fill_wrong_email_format,TestCloud - macOS - Safari 17,,,27-07-2024 10:18:32,27-07-2024 10:19:29,56.931s,PASSED
openBrowser(Signup_URL),TestCloud - macOS - Safari 17,,,27-07-2024 10:18:32,27-07-2024 10:19:22,49.246s,PASSED
maximizeWindow(),TestCloud - macOS - Safari 17,,,27-07-2024 10:19:22,27-07-2024 10:19:22,0.334s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign up/Sign_up_page""), 5)",TestCloud - macOS - Safari 17,,,27-07-2024 10:19:22,27-07-2024 10:19:23,0.741s,PASSED
"setText(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_input""), username)",TestCloud - macOS - Safari 17,,,27-07-2024 10:19:23,27-07-2024 10:19:25,2.361s,PASSED
"sendKeys(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_input""), Keys.chord(TAB))",TestCloud - macOS - Safari 17,,,27-07-2024 10:19:25,27-07-2024 10:19:26,1.037s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_error_message_lb""), 5)",TestCloud - macOS - Safari 17,,,27-07-2024 10:19:26,27-07-2024 10:19:27,0.664s,PASSED
"Actual_email_error = getText(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_error_message_lb""))",TestCloud - macOS - Safari 17,,,27-07-2024 10:19:27,27-07-2024 10:19:28,1.011s,PASSED
"verifyEqual(Actual_email_error, expec_email_error)",TestCloud - macOS - Safari 17,,,27-07-2024 10:19:28,27-07-2024 10:19:28,0.024s,PASSED
closeBrowser(),TestCloud - macOS - Safari 17,,,27-07-2024 10:19:28,27-07-2024 10:19:29,1.163s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Sign up/TC18_Fill_wrong_email_format,TestCloud - macOS - Safari 17,,,27-07-2024 10:19:29,27-07-2024 10:20:21,51.725s,PASSED
openBrowser(Signup_URL),TestCloud - macOS - Safari 17,,,27-07-2024 10:19:29,27-07-2024 10:20:13,44.407s,PASSED
maximizeWindow(),TestCloud - macOS - Safari 17,,,27-07-2024 10:20:13,27-07-2024 10:20:14,0.338s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign up/Sign_up_page""), 5)",TestCloud - macOS - Safari 17,,,27-07-2024 10:20:14,27-07-2024 10:20:14,0.680s,PASSED
"setText(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_input""), username)",TestCloud - macOS - Safari 17,,,27-07-2024 10:20:14,27-07-2024 10:20:17,2.378s,PASSED
"sendKeys(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_input""), Keys.chord(TAB))",TestCloud - macOS - Safari 17,,,27-07-2024 10:20:17,27-07-2024 10:20:18,1.025s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_error_message_lb""), 5)",TestCloud - macOS - Safari 17,,,27-07-2024 10:20:18,27-07-2024 10:20:18,0.660s,PASSED
"Actual_email_error = getText(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_error_message_lb""))",TestCloud - macOS - Safari 17,,,27-07-2024 10:20:18,27-07-2024 10:20:19,0.968s,PASSED
"verifyEqual(Actual_email_error, expec_email_error)",TestCloud - macOS - Safari 17,,,27-07-2024 10:20:19,27-07-2024 10:20:19,0.002s,PASSED
closeBrowser(),TestCloud - macOS - Safari 17,,,27-07-2024 10:20:19,27-07-2024 10:20:21,1.243s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Sign up/TC18_Fill_wrong_email_format,TestCloud - macOS - Safari 17,,,27-07-2024 10:20:21,27-07-2024 10:21:06,45.310s,PASSED
openBrowser(Signup_URL),TestCloud - macOS - Safari 17,,,27-07-2024 10:20:21,27-07-2024 10:20:59,38.354s,PASSED
maximizeWindow(),TestCloud - macOS - Safari 17,,,27-07-2024 10:20:59,27-07-2024 10:20:59,0.321s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign up/Sign_up_page""), 5)",TestCloud - macOS - Safari 17,,,27-07-2024 10:20:59,27-07-2024 10:21:00,0.636s,PASSED
"setText(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_input""), username)",TestCloud - macOS - Safari 17,,,27-07-2024 10:21:00,27-07-2024 10:21:02,2.340s,PASSED
"sendKeys(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_input""), Keys.chord(TAB))",TestCloud - macOS - Safari 17,,,27-07-2024 10:21:02,27-07-2024 10:21:03,0.923s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_error_message_lb""), 5)",TestCloud - macOS - Safari 17,,,27-07-2024 10:21:03,27-07-2024 10:21:04,0.609s,PASSED
"Actual_email_error = getText(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_error_message_lb""))",TestCloud - macOS - Safari 17,,,27-07-2024 10:21:04,27-07-2024 10:21:05,0.931s,PASSED
"verifyEqual(Actual_email_error, expec_email_error)",TestCloud - macOS - Safari 17,,,27-07-2024 10:21:05,27-07-2024 10:21:05,0.003s,PASSED
closeBrowser(),TestCloud - macOS - Safari 17,,,27-07-2024 10:21:05,27-07-2024 10:21:06,1.172s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Sign up/TC19_Fill_wrong_password_rule,TestCloud - macOS - Safari 17,,,27-07-2024 10:21:06,27-07-2024 10:21:40,34.117s,PASSED
openBrowser(Signup_URL),TestCloud - macOS - Safari 17,,,27-07-2024 10:21:06,27-07-2024 10:21:33,26.962s,PASSED
maximizeWindow(),TestCloud - macOS - Safari 17,,,27-07-2024 10:21:33,27-07-2024 10:21:33,0.318s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign up/Sign_up_page""), 5)",TestCloud - macOS - Safari 17,,,27-07-2024 10:21:33,27-07-2024 10:21:34,0.630s,PASSED
"setText(findTestObject(""Object Repository/Shopping Cart/Sign up/Password_input""), password)",TestCloud - macOS - Safari 17,,,27-07-2024 10:21:34,27-07-2024 10:21:36,2.261s,PASSED
"sendKeys(findTestObject(""Object Repository/Shopping Cart/Sign up/Password_input""), Keys.chord(TAB))",TestCloud - macOS - Safari 17,,,27-07-2024 10:21:36,27-07-2024 10:21:38,1.178s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign up/Password_error_message_lb""), 5)",TestCloud - macOS - Safari 17,,,27-07-2024 10:21:38,27-07-2024 10:21:38,0.604s,PASSED
"Actual_password_error = getText(findTestObject(""Object Repository/Shopping Cart/Sign up/Password_error_message_lb""))",TestCloud - macOS - Safari 17,,,27-07-2024 10:21:38,27-07-2024 10:21:39,0.904s,PASSED
"verifyEqual(Actual_password_error, expec_password_error)",TestCloud - macOS - Safari 17,,,27-07-2024 10:21:39,27-07-2024 10:21:39,0.003s,PASSED
closeBrowser(),TestCloud - macOS - Safari 17,,,27-07-2024 10:21:39,27-07-2024 10:21:40,1.154s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Sign up/TC19_Fill_wrong_password_rule,TestCloud - macOS - Safari 17,,,27-07-2024 10:21:40,27-07-2024 10:22:29,49.270s,PASSED
openBrowser(Signup_URL),TestCloud - macOS - Safari 17,,,27-07-2024 10:21:40,27-07-2024 10:22:22,41.913s,PASSED
maximizeWindow(),TestCloud - macOS - Safari 17,,,27-07-2024 10:22:22,27-07-2024 10:22:23,0.382s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign up/Sign_up_page""), 5)",TestCloud - macOS - Safari 17,,,27-07-2024 10:22:23,27-07-2024 10:22:23,0.680s,PASSED
"setText(findTestObject(""Object Repository/Shopping Cart/Sign up/Password_input""), password)",TestCloud - macOS - Safari 17,,,27-07-2024 10:22:23,27-07-2024 10:22:26,2.372s,PASSED
"sendKeys(findTestObject(""Object Repository/Shopping Cart/Sign up/Password_input""), Keys.chord(TAB))",TestCloud - macOS - Safari 17,,,27-07-2024 10:22:26,27-07-2024 10:22:27,1.037s,PASSED
