Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authen Product Overview,Chrome 126.0.0.0,,,18-07-2024 21:35:45,18-07-2024 21:36:39,54.718s,FAILED
,,,,,,,
Test Cases/Shopping Cart/Product Overview/TC06_Logged_in_Access_Overview_page,Chrome 126.0.0.0,,,18-07-2024 21:36:27,18-07-2024 21:36:29,2.108s,FAILED
"store.Authentication.Login.Login_successed(username, password)",Chrome 126.0.0.0,,,18-07-2024 21:36:27,18-07-2024 21:36:29,2.088s,FAILED
,,,,,,,
Test Cases/Shopping Cart/Product Overview/TC07_Logged_out_Access_Overview_page,Chrome 126.0.0.0,,,18-07-2024 21:36:29,18-07-2024 21:36:39,10.562s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,18-07-2024 21:36:29,18-07-2024 21:36:34,5.322s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Shopping Cart/Dashboard/Product_item"", [""product_name"":""Basic Top""]), 5)",Chrome 126.0.0.0,,,18-07-2024 21:36:34,18-07-2024 21:36:37,2.940s,PASSED
"click(findTestObject(""Object Repository/Shopping Cart/Dashboard/Product_item"", [""product_name"":""Basic Top""]))",Chrome 126.0.0.0,,,18-07-2024 21:36:37,18-07-2024 21:36:38,0.320s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Shopping Cart/Product Overview/Product_Overview_page""), 5)",Chrome 126.0.0.0,,,18-07-2024 21:36:38,18-07-2024 21:36:39,1.498s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Product Overview/Product_Overview_page""), 5)",Chrome 126.0.0.0,,,18-07-2024 21:36:39,18-07-2024 21:36:39,0.264s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,18-07-2024 21:36:39,18-07-2024 21:36:39,0.138s,PASSED
